,authors,bbox,connectsWith,created,creators,currentVersion,description,extent,featureTypes,geoContext,hasConnectionsWith,id,locationPrecision,maxDate,minDate,modified,path,reprLat,reprLatLong,reprLong,tags,timePeriods,timePeriodsKeys,timePeriodsRange,title,uid,country
637,"Potter, T., R. Warner, R. Talbert, T. Elliott, S. Gillies","-2.0, 35.0, -1.0, 36.0",,2010-09-24T20:28:08Z,T.W. Potter,1.0,"An ancient place, cited: BAtlas 29 D1 unnamed aqueduct (near Siga)","{""type"": ""Polygon"", ""coordinates"": [[[-2.0, 35.0], [-2.0, 36.0], [-1.0, 36.0], [-1.0, 35.0], [-2.0, 35.0]]]}",aqueduct,near Siga,,286147,rough,300.0,-30.0,2012-02-14T23:00:12Z,/places/286147,35.5,"35.5,-1.5",-1.5,,R,roman,"-30.0,300.0",Untitled,72c2ed3cae8cfa516f38acccd20826b9,Algeria
638,"Potter, T., R. Warner, R. Talbert, T. Elliott, S. Gillies","0.0, 35.0, 1.0, 36.0",,2010-09-24T20:28:10Z,T.W. Potter,1.0,"An ancient place, cited: BAtlas 29 F1 unnamed aqueduct (near Mina)","{""type"": ""Polygon"", ""coordinates"": [[[0.0, 35.0], [0.0, 36.0], [1.0, 36.0], [1.0, 35.0], [0.0, 35.0]]]}",aqueduct,near Mina,,286148,rough,300.0,-30.0,2012-02-14T23:00:13Z,/places/286148,35.5,"35.5,0.5",0.5,,R,roman,"-30.0,300.0",Untitled,49984c8c5ed368b470b2e538bb03373d,Algeria
836,"Potter, T., R. Warner, R. Talbert, S. Gillies, T. Elliott, J. Becker","1.332622, 36.166446, 1.332622, 36.166446",295245,2010-09-24T21:03:37Z,T.W. Potter,3.0,Its ancient name is unknown.,"{""type"": ""Point"", ""coordinates"": [1.332622, 36.166446]}",aqueduct,Castellum Tingitanum,,295962,related,300.0,-30.0,2020-10-14T19:42:50Z,/places/295962,36.166446,"36.166446,1.332622",1.332622,,R,roman,"-30.0,300.0",Aqueduct at Castellum Tingitanum,1b179b6e2d57c49e1a21b46a1e12c345,Algeria
837,"Potter, T., R. Warner, R. Talbert, T. Elliott, S. Gillies","1.5, 36.5, 2.0, 37.0",,2010-09-24T21:03:38Z,T.W. Potter,1.0,"An ancient place, cited: BAtlas 30 C3 unnamed aqueduct (Oued Mélah, at Gunugu)","{""type"": ""Polygon"", ""coordinates"": [[[1.5, 36.5], [1.5, 37.0], [2.0, 37.0], [2.0, 36.5], [1.5, 36.5]]]}",aqueduct,"Oued Mélah, at Gunugu",,295963,rough,300.0,-30.0,2012-02-14T23:02:30Z,/places/295963,36.75,"36.75,1.75",1.75,,R,roman,"-30.0,300.0",Untitled,b0781d9adbc837e0d9815c3658dadb57,Algeria
838,"Potter, T., R. Warner, R. Talbert, T. Elliott, S. Gillies","2.0, 36.5, 2.5, 37.0",,2010-09-24T21:03:39Z,T.W. Potter,1.0,"An ancient place, cited: BAtlas 30 D3 unnamed aqueduct (from Menaceur to Iol Caesarea)","{""type"": ""Polygon"", ""coordinates"": [[[2.0, 36.5], [2.0, 37.0], [2.5, 37.0], [2.5, 36.5], [2.0, 36.5]]]}",aqueduct,from Menaceur to Iol Caesarea,,295964,rough,300.0,-30.0,2012-02-14T23:02:30Z,/places/295964,36.75,"36.75,2.25",2.25,,R,roman,"-30.0,300.0",Untitled,573fd8f932292b01b6a8cfff38d936dc,Algeria
839,"Potter, T., R. Warner, R. Talbert, T. Elliott, S. Gillies","3.5, 36.0, 4.0, 36.5",,2010-09-24T21:03:41Z,T.W. Potter,1.0,"An ancient place, cited: BAtlas 30 G4 unnamed aqueduct (from Guern es Slem to Auzia)","{""type"": ""Polygon"", ""coordinates"": [[[3.5, 36.0], [3.5, 36.5], [4.0, 36.5], [4.0, 36.0], [3.5, 36.0]]]}",aqueduct,from Guern es Slem to Auzia,,295965,rough,300.0,-30.0,2012-02-14T23:02:30Z,/places/295965,36.25,"36.25,3.75",3.75,,R,roman,"-30.0,300.0",Untitled,53d711afb1b36948b738c0c8aebd0f48,Algeria
1256,"Loseby, S., DARMC, R. Talbert, S. Gillies, T. Elliott, J. Becker","4.717127, 43.647651, 4.72161, 43.704907",,2009-11-01T16:50:35Z,S. Loseby,6.0,At Barbegal in southern France are the remains of a Roman watermill complex.,"{""type"": ""LineString"", ""coordinates"": [[4.717127, 43.647651], [4.72161, 43.704907]]}","wheel, aqueduct",Barbegal,,148012,precise,640.0,-30.0,2013-07-13T17:52:50Z,/places/148012,43.676279,"43.676279,4.7193685",4.7193685,"dare:major=0, dare:ancient=0, dare:feature=manmade",RL,"roman,late-antique","-30.0,640.0",Barbegal,c8682e2b57a2cca9e9de646a5ce5d12b,France
1448,"Loseby, S., R. Talbert, S. Gillies, T. Elliott","3.217908, 43.3416, 3.217974, 43.341753",148056,2009-11-01T16:54:32Z,S. Loseby,4.0,An aqueduct supplying Baeterrae from the north.,"{""type"": ""LineString"", ""coordinates"": [[3.217908, 43.341753], [3.217974, 43.3416]]}",aqueduct,Col. Baeterrae,,148737,related,640.0,-30.0,2018-08-15T20:08:58Z,/places/148737,43.3416765,"43.3416765,3.217941",3.217941,"dare:major=0, dare:ancient=2, dare:feature=aqueduct",RL,"roman,late-antique","-30.0,640.0",Unnamed aqueduct at Baeterrae,3f9d377c9b7907a5ed62f90cbfda935e,France
1449,"Loseby, S., R. Talbert, S. Gillies, T. Elliott, J. Becker","4.5282492, 43.9514052, 4.5287607, 43.9532055",148142,2009-11-01T16:54:33Z,S. Loseby,6.0,Supplied Nemausus with water from the mid-first to sixth centuries AD.,"{""type"": ""Polygon"", ""coordinates"": [[[4.5287227, 43.9514052], [4.5282492, 43.9531998], [4.5282771, 43.9532055], [4.5283955, 43.9528686], [4.5287607, 43.95141], [4.5287227, 43.9514052]]]}",aqueduct,Nemausus,"244926839,266382050,678272910",148738,precise,640.0,-30.0,2020-10-14T19:35:10Z,/places/148738,43.9523067788,"43.9523067788,4.52851636698",4.52851636698,"dare:major=0, dare:ancient=2, dare:feature=aqueduct",RL,"roman,late-antique","-30.0,640.0",Nîmes aqueduct,29b622a2791089565d37cd3c95b51c66,France
1450,"Loseby, S., R. Talbert, S. Gillies, T. Elliott, S. Maurer","4.5, 43.5, 5.0, 44.0",,2009-11-01T16:54:34Z,S. Loseby,4.0,unnamed aqueduct group at Arelate,"{""type"": ""Polygon"", ""coordinates"": [[[4.5, 43.5], [4.5, 44.0], [5.0, 44.0], [5.0, 43.5], [4.5, 43.5]]]}",aqueduct,Col. Arelate,,148739,rough,640.0,-30.0,2017-09-13T20:18:02Z,/places/148739,43.75,"43.75,4.75",4.75,,RL,"roman,late-antique","-30.0,640.0",Unnamed aqueducts,4524e1ef4144246dec65b28761602135,France
1451,"Loseby, S., R. Talbert, S. Gillies, T. Elliott, S. Maurer","5.0, 44.0, 5.5, 44.5",,2009-11-01T16:54:35Z,S. Loseby,4.0,unnamed aqueduct group (Vasio),"{""type"": ""Polygon"", ""coordinates"": [[[5.0, 44.0], [5.0, 44.5], [5.5, 44.5], [5.5, 44.0], [5.0, 44.0]]]}",aqueduct,Vasio,,148740,rough,640.0,-30.0,2017-09-13T20:18:28Z,/places/148740,44.25,"44.25,5.25",5.25,,RL,"roman,late-antique","-30.0,640.0",Unnamed aqueducts,4e634049164c5e0bd4fb5a03f30f4a79,France
1452,"Loseby, S., R. Talbert, T. Elliott, S. Gillies","5.0, 43.5, 5.5, 44.0",,2009-11-01T16:54:36Z,S. Loseby,2.0,"An ancient place, cited: BAtlas 15 E2 unnamed aqueduct (Fontaine de Vaucluse)","{""type"": ""Polygon"", ""coordinates"": [[[5.0, 43.5], [5.0, 44.0], [5.5, 44.0], [5.5, 43.5], [5.0, 43.5]]]}",aqueduct,Fontaine de Vaucluse,,148741,rough,640.0,-30.0,2012-02-14T21:31:05Z,/places/148741,43.75,"43.75,5.25",5.25,,RL,"roman,late-antique","-30.0,640.0",Untitled,31312de199c76a7a90ab40a82d4e669d,France
1453,"Loseby, S., R. Talbert, S. Gillies, T. Elliott, S. Maurer","5.0, 43.5, 5.5, 44.0",,2009-11-01T16:54:36Z,S. Loseby,4.0,unnamed aqueduct group (Aquae Sextiae),"{""type"": ""Polygon"", ""coordinates"": [[[5.0, 43.5], [5.0, 44.0], [5.5, 44.0], [5.5, 43.5], [5.0, 43.5]]]}",aqueduct,Aquae Sextiae,,148742,rough,640.0,-30.0,2017-09-13T20:18:48Z,/places/148742,43.75,"43.75,5.25",5.25,,RL,"roman,late-antique","-30.0,640.0",Unnamed aqueducts,9f0b0e66c9c858c530a9d21e301e5edf,France
1458,"Loseby, S., DARMC, R. Talbert, S. Gillies, T. Elliott, J. Becker","4.534036, 43.9464594, 4.5365412, 43.9480456","253855601,148076,148738",2009-11-01T16:49:10Z,S. Loseby,20.0,The Pont du Gard is an ancient Roman aqueduct bridge that crosses the Gardon River near the town of Vers-Pont-du-Gard in the south of France. It was enrolled as a UNESCO World Heritage Site in 1985.,"{""type"": ""Polygon"", ""coordinates"": [[[4.5365157, 43.9464594], [4.534036, 43.9480247], [4.5340614, 43.9480456], [4.5365412, 43.9464803], [4.5365157, 43.9464594]]]}","aqueduct, bridge",aqueduct bridge at Estel (Pont du Gard),,149496,precise,2100.0,-30.0,2020-09-18T14:01:31Z,/places/149496,43.9472538216,"43.9472538216,4.53529107172",4.53529107172,"aqueduct, extant remains, UWHS",RLM,"roman,late-antique,modern","-30.0,2100.0",Pont du Gard,bc764e0566e157a3845a04395e5fec86,France
2230,"Mattingly, D., R. Talbert, T. Elliott, S. Gillies","20.0, 32.0, 21.0, 33.0",,2011-01-08T14:25:28Z,D.J. Mattingly,1.0,"An ancient place, cited: BAtlas 38 B1 unnamed aqueduct (Ptolemais)","{""type"": ""Polygon"", ""coordinates"": [[[20.0, 32.0], [20.0, 33.0], [21.0, 33.0], [21.0, 32.0], [20.0, 32.0]]]}",aqueduct,Ptolemais,,374482,rough,300.0,-30.0,2012-02-14T23:30:59Z,/places/374482,32.5,"32.5,20.5",20.5,,R,roman,"-30.0,300.0",Untitled,5875859605dbb74985a0116fd21247d5,Libya
2231,"Mattingly, D., R. Talbert, T. Elliott, S. Gillies","20.0, 32.0, 21.0, 33.0",,2011-01-08T14:25:29Z,D.J. Mattingly,1.0,"An ancient place, cited: BAtlas 38 B1 unnamed aqueduct (Hadrianopolis)","{""type"": ""Polygon"", ""coordinates"": [[[20.0, 32.0], [20.0, 33.0], [21.0, 33.0], [21.0, 32.0], [20.0, 32.0]]]}",aqueduct,Hadrianopolis,,374483,rough,300.0,-30.0,2012-02-14T23:30:59Z,/places/374483,32.5,"32.5,20.5",20.5,,R,roman,"-30.0,300.0",Untitled,930c7fc63b8d7423c61551889b9446c8,Libya
2232,"Mattingly, D., R. Talbert, T. Elliott, S. Gillies","21.0, 32.0, 22.0, 33.0",,2011-01-08T14:25:30Z,D.J. Mattingly,1.0,"An ancient place, cited: BAtlas 38 C1 unnamed aqueduct (Apollonia)","{""type"": ""Polygon"", ""coordinates"": [[[21.0, 32.0], [21.0, 33.0], [22.0, 33.0], [22.0, 32.0], [21.0, 32.0]]]}",aqueduct,Apollonia,,374484,rough,300.0,-30.0,2012-02-14T23:30:59Z,/places/374484,32.5,"32.5,21.5",21.5,,R,roman,"-30.0,300.0",Untitled,3419595aa36ddffaefd883dac99178cb,Libya
2616,"Pearce, M., P. Tozzi, R. Talbert, S. Gillies, T. Elliott, J. Becker","7.5, 45.0, 8.0, 45.5",383642,2019-07-16T23:45:27Z,"M. Pearce, P. Tozzi",3.0,"According to PECS, the Roman aqueduct at Eporedia originates ""at the Viona stream on the slopes of the Mombarone"".","{""type"": ""Polygon"", ""coordinates"": [[[7.5, 45.0], [7.5, 45.5], [8.0, 45.5], [8.0, 45.0], [7.5, 45.0]]]}",aqueduct,Eporedia,,384297,rough,640.0,-30.0,2019-07-17T17:31:42Z,/places/384297,45.25,"45.25,7.75",7.75,,RL,"roman,late-antique","-30.0,640.0",Unnamed Roman aqueduct at Eporedia,cb8f995db593afbc860a33c48f9bc992,Italy
2617,"Pearce, M., P. Tozzi, R. Talbert, T. Elliott, S. Gillies","7.5, 45.0, 8.0, 45.5",,2010-11-15T18:00:38Z,"M. Pearce, P. Tozzi",1.0,"An ancient place, cited: BAtlas 39 B3 unnamed aqueduct (Carreum Potentia)","{""type"": ""Polygon"", ""coordinates"": [[[7.5, 45.0], [7.5, 45.5], [8.0, 45.5], [8.0, 45.0], [7.5, 45.0]]]}",aqueduct,Carreum Potentia,,384298,rough,640.0,-30.0,2012-02-14T23:37:07Z,/places/384298,45.25,"45.25,7.75",7.75,,RL,"roman,late-antique","-30.0,640.0",Untitled,ebfbd1789e8b69dd3cd468fe67c0b880,Italy
2618,"Pearce, M., P. Tozzi, R. Talbert, S. Gillies, T. Elliott, J. Becker","7.5, 44.5, 8.0, 45.0",383578,2019-08-30T23:30:10Z,"M. Pearce, P. Tozzi",2.0,"An ancient place, cited: BAtlas 39 B4 unnamed aqueduct (Augusta Bagiennorum)","{""type"": ""Polygon"", ""coordinates"": [[[7.5, 44.5], [7.5, 45.0], [8.0, 45.0], [8.0, 44.5], [7.5, 44.5]]]}",aqueduct,Augusta Bagiennorum,,384299,rough,640.0,-30.0,2019-08-31T01:28:13Z,/places/384299,44.75,"44.75,7.75",7.75,,RL,"roman,late-antique","-30.0,640.0",Unnamed aqueduct at Augusta Bagiennorum,a9862e1134e3ad7d6bc567312bc97a9d,Italy
2619,"Pearce, M., P. Tozzi, R. Talbert, T. Elliott, S. Gillies","7.5, 44.5, 8.0, 45.0",,2010-11-15T18:00:40Z,"M. Pearce, P. Tozzi",1.0,"An ancient place, cited: BAtlas 39 B4 unnamed aqueduct (Pollentia)","{""type"": ""Polygon"", ""coordinates"": [[[7.5, 44.5], [7.5, 45.0], [8.0, 45.0], [8.0, 44.5], [7.5, 44.5]]]}",aqueduct,Pollentia,,384300,rough,640.0,-30.0,2012-02-14T23:37:08Z,/places/384300,44.75,"44.75,7.75",7.75,,RL,"roman,late-antique","-30.0,640.0",Untitled,d911b508039de6d3e7992f5d127df25c,Italy
2620,"Pearce, M., P. Tozzi, R. Talbert, S. Gillies, T. Elliott, J. Becker","8.035244, 44.700835, 8.035244, 44.700835",383564,2010-11-15T18:00:41Z,"M. Pearce, P. Tozzi",3.0,"An ancient place, cited: BAtlas 39 C4 unnamed aqueduct (Alba Pompeia)","{""type"": ""Point"", ""coordinates"": [8.035244, 44.700835]}",aqueduct,Alba Pompeia,,384301,related,640.0,-30.0,2019-08-30T21:08:46Z,/places/384301,44.700835,"44.700835,8.035244",8.035244,,RL,"roman,late-antique","-30.0,640.0",Unnamed aqueduct at Alba Pompeia,a8a2f8f44f1f6b5fd3cfcce027719d98,Italy
2621,"Pearce, M., P. Tozzi, R. Talbert, T. Elliott, S. Gillies","8.0, 44.5, 8.5, 45.0",,2010-11-15T18:00:42Z,"M. Pearce, P. Tozzi",1.0,"An ancient place, cited: BAtlas 39 C4 unnamed aqueduct (Aquae Statiellae)","{""type"": ""Polygon"", ""coordinates"": [[[8.0, 44.5], [8.0, 45.0], [8.5, 45.0], [8.5, 44.5], [8.0, 44.5]]]}",aqueduct,Aquae Statiellae,,384302,rough,640.0,-30.0,2012-02-14T23:37:08Z,/places/384302,44.75,"44.75,8.25",8.25,,RL,"roman,late-antique","-30.0,640.0",Untitled,b52d980f4cd7733844fe93c449201bbd,Italy
2622,"Pearce, M., P. Tozzi, R. Talbert, T. Elliott, S. Gillies","8.5, 45.0, 9.0, 45.5",,2010-11-15T18:00:43Z,"M. Pearce, P. Tozzi",1.0,"An ancient place, cited: BAtlas 39 D3 unnamed aqueduct (Novaria)","{""type"": ""Polygon"", ""coordinates"": [[[8.5, 45.0], [8.5, 45.5], [9.0, 45.5], [9.0, 45.0], [8.5, 45.0]]]}",aqueduct,Novaria,,384303,rough,640.0,-30.0,2012-02-14T23:37:09Z,/places/384303,45.25,"45.25,8.75",8.75,,RL,"roman,late-antique","-30.0,640.0",Untitled,adebda9185996e8beba0121cfcc68cbd,Italy
2623,"Pearce, M., P. Tozzi, R. Talbert, S. Gillies, T. Elliott, J. Becker","8.5, 44.5, 9.0, 45.0",383633,2010-11-15T18:00:44Z,"M. Pearce, P. Tozzi",2.0,"An ancient place, cited: BAtlas 39 D4 unnamed aqueduct (Dertona)","{""type"": ""Polygon"", ""coordinates"": [[[8.5, 44.5], [8.5, 45.0], [9.0, 45.0], [9.0, 44.5], [8.5, 44.5]]]}",aqueduct,Dertona,,384304,rough,640.0,-30.0,2019-01-15T18:48:49Z,/places/384304,44.75,"44.75,8.75",8.75,,RL,"roman,late-antique","-30.0,640.0",Untitled,522704654a0d47805ee1565cc57cdca5,Italy
2624,"Pearce, M., P. Tozzi, R. Talbert, T. Elliott, S. Gillies","8.5, 44.5, 9.0, 45.0",,2010-11-15T18:00:45Z,"M. Pearce, P. Tozzi",1.0,"An ancient place, cited: BAtlas 39 D4 unnamed aqueduct (Libarna)","{""type"": ""Polygon"", ""coordinates"": [[[8.5, 44.5], [8.5, 45.0], [9.0, 45.0], [9.0, 44.5], [8.5, 44.5]]]}",aqueduct,Libarna,,384305,rough,640.0,-30.0,2012-02-14T23:37:09Z,/places/384305,44.75,"44.75,8.75",8.75,,RL,"roman,late-antique","-30.0,640.0",Untitled,4aa1183757dd87d5417f7e2b84e6d24e,Italy
2625,"Pearce, M., P. Tozzi, R. Talbert, T. Elliott, S. Gillies","10.0, 45.5, 10.5, 46.0",,2010-11-15T18:00:46Z,"M. Pearce, P. Tozzi",1.0,"An ancient place, cited: BAtlas 39 G2 unnamed aqueduct (Brixia (Mompiano))","{""type"": ""Polygon"", ""coordinates"": [[[10.0, 45.5], [10.0, 46.0], [10.5, 46.0], [10.5, 45.5], [10.0, 45.5]]]}",aqueduct,Brixia (Mompiano),,384306,rough,640.0,300.0,2012-02-14T23:37:09Z,/places/384306,45.75,"45.75,10.25",10.25,,L,late-antique,"300.0,640.0",Untitled,b9abc1a14baaca602ce12736669e579b,Italy
2626,"Pearce, M., P. Tozzi, R. Talbert, T. Elliott, S. Gillies","10.0, 45.5, 10.5, 46.0",,2010-11-15T18:00:47Z,"M. Pearce, P. Tozzi",1.0,"An ancient place, cited: BAtlas 39 G2 unnamed aqueduct (Brixia (Villa Carcina and Val Trompia))","{""type"": ""Polygon"", ""coordinates"": [[[10.0, 45.5], [10.0, 46.0], [10.5, 46.0], [10.5, 45.5], [10.0, 45.5]]]}",aqueduct,Brixia (Villa Carcina and Val Trompia),,384307,rough,640.0,-30.0,2012-02-14T23:37:10Z,/places/384307,45.75,"45.75,10.25",10.25,,RL,"roman,late-antique","-30.0,640.0",Untitled,06214bd79c7454db2eb616bc795cd0b1,Italy
2940,"Pearce, M., R. Peretto, P. Tozzi, R. Talbert, T. Elliott, S. Gillies","11.0, 44.0, 11.5, 44.5",,2010-11-15T18:35:01Z,"M. Pearce, R. Peretto, P. Tozzi",1.0,"An ancient place, cited: BAtlas 40 A4 unnamed aqueduct (Bononia)","{""type"": ""Polygon"", ""coordinates"": [[[11.0, 44.0], [11.0, 44.5], [11.5, 44.5], [11.5, 44.0], [11.0, 44.0]]]}",aqueduct,Bononia,,394112,rough,640.0,-30.0,2012-02-14T23:41:02Z,/places/394112,44.25,"44.25,11.25",11.25,,RL,"roman,late-antique","-30.0,640.0",Untitled,3a528c79328f5885a07c2ccfdf1721b5,Italy
2941,"Pearce, M., R. Peretto, P. Tozzi, R. Talbert, S. Gillies, T. Elliott, J. Becker","11.5, 45.5, 12.0, 46.0",393513,2010-11-15T18:35:02Z,"M. Pearce, R. Peretto, P. Tozzi",4.0,An aqueduct supplying Vicetia (modern Vicenza in Italy),"{""type"": ""Polygon"", ""coordinates"": [[[11.5, 45.5], [11.5, 46.0], [12.0, 46.0], [12.0, 45.5], [11.5, 45.5]]]}",aqueduct,Vicetia,,394113,rough,640.0,-30.0,2020-05-25T12:20:12Z,/places/394113,45.75,"45.75,11.75",11.75,,RL,"roman,late-antique","-30.0,640.0",Unnamed aqueduct at Vicetia,d6624306f8c9f7c3f19ad647d4c8806c,Italy
